,Mercado,Grupo alimenticio,Precio en pesos argentinos,Precio en d√≥lares,Fecha,Precio dolar hoy,Precio dolar real,Precio dolar supuesto
771,Greater Buenos Aires,Rice (white),54.75,0.3765,2019-11-15,59.488,0.9204,145.4183
775,Buenos Aires,Wheat,10.62,0.073,2019-12-15,59.488,0.1785,145.4795
776,Greater Buenos Aires,Bread,108.02,0.7428,2019-12-15,59.488,1.8158,145.4227
777,Greater Buenos Aires,Potatoes,27.6,0.1898,2019-12-15,59.488,0.464,145.4162
778,Greater Buenos Aires,Rice (white),57.46,0.3951,2019-12-15,59.488,0.9659,145.4315
779,Greater Buenos Aires,Wheat flour,40.24,0.2767,2019-12-15,59.488,0.6764,145.4283
780,Greater Buenos Aires,Milk,50.98,0.3506,2019-12-15,59.488,0.857,145.4079
781,Greater Buenos Aires,Sugar,44.18,0.3038,2019-12-15,59.488,0.7427,145.4246
789,Rosario,Maize (yellow),9.22,0.0634,2020-01-15,59.77,0.1543,145.4259
788,Greater Buenos Aires,Sugar,50.66,0.3484,2020-01-15,59.77,0.8476,145.4076
787,Greater Buenos Aires,Milk,55.02,0.3784,2020-01-15,59.77,0.9205,145.4017
786,Greater Buenos Aires,Wheat flour,42.07,0.2893,2020-01-15,59.77,0.7039,145.42
784,Greater Buenos Aires,Potatoes,31.24,0.2148,2020-01-15,59.77,0.5227,145.4376
783,Greater Buenos Aires,Bread,111.25,0.765,2020-01-15,59.77,1.8613,145.4248
782,Buenos Aires,Wheat,12.09,0.0832,2020-01-15,59.77,0.2023,145.3125
785,Greater Buenos Aires,Rice (white),63.84,0.439,2020-01-15,59.77,1.0681,145.4214
790,Buenos Aires,Wheat,12.9,0.0887,2020-02-15,59.77,0.2158,145.434
791,Greater Buenos Aires,Bread,112.99,0.777,2020-02-15,59.77,1.8904,145.4183
792,Greater Buenos Aires,Potatoes,33.23,0.2285,2020-02-15,59.77,0.556,145.4267
793,Greater Buenos Aires,Rice (white),66.04,0.4541,2020-02-15,59.77,1.1049,145.4305
794,Greater Buenos Aires,Wheat flour,43.62,0.3,2020-02-15,59.77,0.7298,145.4
795,Greater Buenos Aires,Milk,54.01,0.3714,2020-02-15,59.77,0.9036,145.4227
796,Greater Buenos Aires,Sugar,56.99,0.3919,2020-02-15,59.77,0.9535,145.4197
797,Rosario,Maize (yellow),9.02,0.0621,2020-02-15,59.77,0.1509,145.2496
804,Greater Buenos Aires,Milk,55.72,0.3832,2020-03-15,59.77,0.9322,145.4071
806,Rosario,Maize (yellow),8.85,0.0609,2020-03-15,59.77,0.1481,145.3202
805,Greater Buenos Aires,Sugar,61.83,0.4252,2020-03-15,59.77,1.0345,145.4139
803,Greater Buenos Aires,Meat (beef),214.88,1.4777,2020-03-15,59.77,3.5951,145.4152
799,Greater Buenos Aires,Bread,116.37,0.8002,2020-03-15,59.77,1.947,145.4261
801,Greater Buenos Aires,Rice (white),67.75,0.4659,2020-03-15,59.77,1.1335,145.4175
800,Greater Buenos Aires,Potatoes,32.84,0.2258,2020-03-15,59.77,0.5494,145.4384
798,Buenos Aires,Wheat,13.17,0.0906,2020-03-15,59.77,0.2203,145.3642
802,Greater Buenos Aires,Wheat flour,43.43,0.2987,2020-03-15,59.77,0.7266,145.3967
815,Rosario,Maize (yellow),8.67,0.0596,2020-04-15,65.483,0.1324,145.4698
813,Greater Buenos Aires,Milk,54.84,0.3771,2020-04-15,65.483,0.8375,145.4256
812,Greater Buenos Aires,Meat (beef),227.42,1.5639,2020-04-15,65.483,3.473,145.4185
811,Greater Buenos Aires,Wheat flour,43.7,0.3005,2020-04-15,65.483,0.6673,145.4243
814,Greater Buenos Aires,Sugar,66.25,0.4556,2020-04-15,65.483,1.0117,145.4126
809,Greater Buenos Aires,Potatoes,36.65,0.252,2020-04-15,65.483,0.5597,145.4365
808,Greater Buenos Aires,Bread,116.52,0.8013,2020-04-15,65.483,1.7794,145.4137
807,Buenos Aires,Wheat,13.99,0.0962,2020-04-15,65.483,0.2136,145.4262
810,Greater Buenos Aires,Rice (white),70.13,0.4823,2020-04-15,65.483,1.071,145.4074
816,Buenos Aires,Wheat,14.26,0.0981,2020-05-15,67.585,0.211,145.3619
817,Greater Buenos Aires,Bread,113.97,0.7837,2020-05-15,67.585,1.6863,145.4255
818,Greater Buenos Aires,Potatoes,34.58,0.2378,2020-05-15,67.585,0.5117,145.4163
819,Greater Buenos Aires,Rice (white),70.22,0.4829,2020-05-15,67.585,1.039,145.4131
820,Greater Buenos Aires,Wheat flour,44.22,0.3041,2020-05-15,67.585,0.6543,145.4127
821,Greater Buenos Aires,Milk,54.58,0.3753,2020-05-15,67.585,0.8076,145.4303
822,Greater Buenos Aires,Sugar,65.43,0.4499,2020-05-15,67.585,0.9681,145.4323
823,Rosario,Maize (yellow),8.13,0.0559,2020-05-15,67.585,0.1203,145.4383
829,Greater Buenos Aires,Milk,54.87,0.3773,2020-06-15,69.231,0.7926,145.428
830,Greater Buenos Aires,Sugar,65.75,0.4521,2020-06-15,69.231,0.9497,145.4324
828,Greater Buenos Aires,Wheat flour,44.41,0.3054,2020-06-15,69.231,0.6415,145.4158
831,Rosario,Maize (yellow),8.64,0.0594,2020-06-15,69.231,0.1248,145.4545
826,Greater Buenos Aires,Potatoes,33.85,0.2328,2020-06-15,69.231,0.4889,145.4038
824,Buenos Aires,Wheat,14.52,0.0999,2020-06-15,69.231,0.2097,145.3453
827,Greater Buenos Aires,Rice (white),72.56,0.499,2020-06-15,69.231,1.0481,145.4108
825,Greater Buenos Aires,Bread,116.46,0.8009,2020-06-15,69.231,1.6822,145.4114
832,Buenos Aires,Wheat,14.71,0.1012,2020-07-15,71.207,0.2066,145.3557
833,Greater Buenos Aires,Bread,116.71,0.8026,2020-07-15,71.207,1.639,145.4149
834,Greater Buenos Aires,Potatoes,36.48,0.2509,2020-07-15,71.207,0.5123,145.3966
835,Greater Buenos Aires,Rice (white),73.25,0.5037,2020-07-15,71.207,1.0287,145.4239
836,Greater Buenos Aires,Wheat flour,45.62,0.3137,2020-07-15,71.207,0.6407,145.4256
837,Greater Buenos Aires,Milk,55.89,0.3843,2020-07-15,71.207,0.7849,145.4333
838,Greater Buenos Aires,Sugar,64.33,0.4424,2020-07-15,71.207,0.9034,145.4114
839,Rosario,Maize (yellow),9.55,0.0657,2020-07-15,71.207,0.1341,145.3577
845,Greater Buenos Aires,Milk,56.0,0.3851,2020-08-15,71.207,0.7864,145.4168
847,Rosario,Maize (yellow),10.48,0.0721,2020-08-15,71.207,0.1472,145.3537
846,Greater Buenos Aires,Sugar,62.97,0.433,2020-08-15,71.207,0.8843,145.4273
844,Greater Buenos Aires,Wheat flour,46.04,0.3166,2020-08-15,71.207,0.6466,145.4201
843,Greater Buenos Aires,Rice (white),73.8,0.5075,2020-08-15,71.207,1.0364,145.4187
842,Greater Buenos Aires,Potatoes,38.04,0.2616,2020-08-15,71.207,0.5342,145.4128
841,Greater Buenos Aires,Bread,116.91,0.804,2020-08-15,71.207,1.6418,145.4104
840,Buenos Aires,Wheat,15.27,0.105,2020-08-15,71.207,0.2144,145.4286
848,Buenos Aires,Wheat,16.42,0.1129,2020-09-15,75.13,0.2186,145.4384
849,Greater Buenos Aires,Bread,127.31,0.8755,2020-09-15,75.13,1.6945,145.414
850,Greater Buenos Aires,Potatoes,36.68,0.2522,2020-09-15,75.13,0.4882,145.4401
851,Greater Buenos Aires,Rice (white),75.75,0.5209,2020-09-15,75.13,1.0083,145.4214
852,Greater Buenos Aires,Wheat flour,46.12,0.3172,2020-09-15,75.13,0.6139,145.3972
853,Greater Buenos Aires,Milk,55.94,0.3847,2020-09-15,75.13,0.7446,145.412
854,Greater Buenos Aires,Sugar,64.01,0.4402,2020-09-15,75.13,0.852,145.4112
855,Rosario,Maize (yellow),12.26,0.0843,2020-09-15,75.13,0.1632,145.433
862,Greater Buenos Aires,Sugar,65.15,0.448,2020-10-15,77.47,0.841,145.4241
861,Greater Buenos Aires,Milk,57.05,0.3923,2020-10-15,77.47,0.7364,145.4244
860,Greater Buenos Aires,Wheat flour,47.66,0.3277,2020-10-15,77.47,0.6152,145.4379
863,Rosario,Maize (yellow),14.76,0.1015,2020-10-15,77.47,0.1905,145.4187
859,Greater Buenos Aires,Rice (white),80.55,0.5539,2020-10-15,77.47,1.0398,145.4234
857,Greater Buenos Aires,Bread,132.1,0.9084,2020-10-15,77.47,1.7052,145.4205
856,Buenos Aires,Wheat,17.74,0.122,2020-10-15,77.47,0.229,145.4098
858,Greater Buenos Aires,Potatoes,49.21,0.3384,2020-10-15,77.47,0.6352,145.4196
864,Buenos Aires,Wheat,17.84,0.1227,2020-11-15,77.47,0.2303,145.3953
865,Greater Buenos Aires,Bread,138.31,0.9511,2020-11-15,77.47,1.7853,145.4211
866,Greater Buenos Aires,Potatoes,57.26,0.3938,2020-11-15,77.47,0.7391,145.4038
867,Greater Buenos Aires,Rice (white),80.9,0.5563,2020-11-15,77.47,1.0443,145.4251
868,Greater Buenos Aires,Wheat flour,45.17,0.3106,2020-11-15,77.47,0.5831,145.4282
869,Greater Buenos Aires,Milk,57.45,0.3951,2020-11-15,77.47,0.7416,145.4062
870,Greater Buenos Aires,Sugar,64.48,0.4434,2020-11-15,77.47,0.8323,145.4217
871,Rosario,Maize (yellow),15.64,0.1076,2020-11-15,77.47,0.2019,145.3532
878,Greater Buenos Aires,Sugar,66.12,0.4547,2020-12-15,82.47,0.8017,145.4146
877,Greater Buenos Aires,Milk,57.3,0.394,2020-12-15,82.47,0.6948,145.4315
875,Greater Buenos Aires,Rice (white),81.76,0.5622,2020-12-15,82.47,0.9914,145.4287
876,Greater Buenos Aires,Wheat flour,42.55,0.2926,2020-12-15,82.47,0.5159,145.4204
873,Greater Buenos Aires,Bread,140.13,0.9636,2020-12-15,82.47,1.6992,145.4234
872,Buenos Aires,Wheat,18.05,0.1241,2020-12-15,82.47,0.2189,145.4472
874,Greater Buenos Aires,Potatoes,61.1,0.4202,2020-12-15,82.47,0.7409,145.4069
879,Buenos Aires,Wheat,19.3,0.1327,2021-01-15,85.73,0.2251,145.4408
880,Greater Buenos Aires,Bread,145.61,1.0013,2021-01-15,85.73,1.6985,145.421
881,Greater Buenos Aires,Potatoes,59.7,0.4105,2021-01-15,85.73,0.6964,145.4324
882,Greater Buenos Aires,Rice (white),81.53,0.5607,2021-01-15,85.73,0.951,145.4075
883,Greater Buenos Aires,Wheat flour,43.62,0.3,2021-01-15,85.73,0.5088,145.4
884,Greater Buenos Aires,Meat (beef),313.33,2.1547,2021-01-15,85.73,3.6548,145.417
885,Greater Buenos Aires,Milk,58.0,0.3988,2021-01-15,85.73,0.6765,145.4363
886,Greater Buenos Aires,Sugar,66.78,0.4592,2021-01-15,85.73,0.779,145.4268
887,Rosario,Maize (yellow),17.51,0.1204,2021-01-15,85.73,0.2042,145.4319
893,Greater Buenos Aires,Meat (beef),327.65,2.2531,2021-02-15,88.35,3.7085,145.4219
895,Greater Buenos Aires,Sugar,68.58,0.4716,2021-02-15,88.35,0.7762,145.4198
894,Greater Buenos Aires,Milk,62.05,0.4267,2021-02-15,88.35,0.7023,145.4183
892,Greater Buenos Aires,Wheat flour,45.06,0.3099,2021-02-15,88.35,0.51,145.4017
896,Rosario,Maize (yellow),18.0,0.1238,2021-02-15,88.35,0.2037,145.3958
890,Greater Buenos Aires,Potatoes,59.67,0.4103,2021-02-15,88.35,0.6754,145.4302
889,Greater Buenos Aires,Bread,151.12,1.0392,2021-02-15,88.35,1.7105,145.4196
888,Buenos Aires,Wheat,18.98,0.1305,2021-02-15,88.35,0.2148,145.4406
891,Greater Buenos Aires,Rice (white),81.61,0.5612,2021-02-15,88.35,0.9237,145.4205
905,Rosario,Maize (yellow),17.99,0.1237,2021-03-15,91.06,0.1976,145.4325
904,Greater Buenos Aires,Sugar,69.0,0.4745,2021-03-15,91.06,0.7577,145.4162
903,Greater Buenos Aires,Milk,69.52,0.4781,2021-03-15,91.06,0.7635,145.4089
902,Greater Buenos Aires,Meat (beef),355.55,2.445,2021-03-15,91.06,3.9046,145.4192
901,Greater Buenos Aires,Wheat flour,45.12,0.3103,2021-03-15,91.06,0.4955,145.4077
900,Greater Buenos Aires,Rice (white),84.36,0.5801,2021-03-15,91.06,0.9264,145.4232
899,Greater Buenos Aires,Potatoes,55.86,0.3841,2021-03-15,91.06,0.6134,145.4309
898,Greater Buenos Aires,Bread,157.27,1.0815,2021-03-15,91.06,1.7271,145.4184
897,Buenos Aires,Wheat,19.04,0.131,2021-03-15,91.06,0.2091,145.3435
913,Rosario,Maize (yellow),19.64,0.1351,2021-04-15,92.72,0.2118,145.3738
912,Greater Buenos Aires,Sugar,69.64,0.4789,2021-04-15,92.72,0.7511,145.4166
911,Greater Buenos Aires,Milk,76.35,0.525,2021-04-15,92.72,0.8234,145.4286
910,Greater Buenos Aires,Wheat flour,46.4,0.3191,2021-04-15,92.72,0.5004,145.409
908,Greater Buenos Aires,Potatoes,54.35,0.3737,2021-04-15,92.72,0.5862,145.4375
907,Greater Buenos Aires,Bread,164.72,1.1327,2021-04-15,92.72,1.7765,145.4224
906,Buenos Aires,Wheat,19.5,0.1341,2021-04-15,92.72,0.2103,145.4139
909,Greater Buenos Aires,Rice (white),96.38,0.6628,2021-04-15,92.72,1.0395,145.4134
914,Buenos Aires,Wheat,20.84,0.1433,2021-05-15,92.72,0.2248,145.4292
915,Greater Buenos Aires,Bread,172.29,1.1848,2021-05-15,92.72,1.8582,145.4169
916,Greater Buenos Aires,Potatoes,55.95,0.3848,2021-05-15,92.72,0.6034,145.4002
917,Greater Buenos Aires,Rice (white),108.97,0.7494,2021-05-15,92.72,1.1753,145.4097
918,Greater Buenos Aires,Wheat flour,49.51,0.3405,2021-05-15,92.72,0.534,145.4038
919,Greater Buenos Aires,Milk,77.21,0.5309,2021-05-15,92.72,0.8327,145.4323
920,Greater Buenos Aires,Sugar,69.58,0.4785,2021-05-15,92.72,0.7504,145.4127
921,Rosario,Maize (yellow),21.02,0.1445,2021-05-15,92.72,0.2267,145.4671
928,Greater Buenos Aires,Sugar,71.0,0.4882,2021-06-15,95.199,0.7458,145.4322
929,Rosario,Maize (yellow),18.91,0.13,2021-06-15,95.199,0.1986,145.4615
927,Greater Buenos Aires,Milk,84.0,0.5776,2021-06-15,95.199,0.8824,145.4294
926,Greater Buenos Aires,Wheat flour,51.0,0.3507,2021-06-15,95.199,0.5357,145.4234
925,Greater Buenos Aires,Rice (white),112.0,0.7702,2021-06-15,95.199,1.1765,145.4168
924,Greater Buenos Aires,Potatoes,53.0,0.3645,2021-06-15,95.199,0.5567,145.4047
923,Greater Buenos Aires,Bread,183.0,1.2584,2021-06-15,95.199,1.9223,145.4228
922,Buenos Aires,Wheat,20.51,0.141,2021-06-15,95.199,0.2154,145.461
938,Rosario,Maize (yellow),19.0,0.1307,2021-07-15,96.18,0.1975,145.3711
937,Greater Buenos Aires,Sugar,74.0,0.5089,2021-07-15,96.18,0.7694,145.4117
936,Greater Buenos Aires,Milk,85.0,0.5845,2021-07-15,96.18,0.8838,145.4234
935,Greater Buenos Aires,Meat (beef),430.0,2.957,2021-07-15,96.18,4.4708,145.4177
934,Greater Buenos Aires,Wheat flour,53.0,0.3645,2021-07-15,96.18,0.5511,145.4047
933,Greater Buenos Aires,Rice (white),112.0,0.7702,2021-07-15,96.18,1.1645,145.4168
932,Greater Buenos Aires,Potatoes,52.0,0.3576,2021-07-15,96.18,0.5407,145.4139
931,Greater Buenos Aires,Bread,185.0,1.2722,2021-07-15,96.18,1.9235,145.4174
930,Buenos Aires,Wheat,20.0,0.1375,2021-07-15,96.18,0.2079,145.4545
947,Rosario,Maize (yellow),19.0,0.1307,2021-08-15,96.18,0.1975,145.3711
946,Greater Buenos Aires,Sugar,76.0,0.5226,2021-08-15,96.18,0.7902,145.4267
945,Greater Buenos Aires,Milk,87.0,0.5983,2021-08-15,96.18,0.9046,145.412
944,Greater Buenos Aires,Meat (beef),415.0,2.8538,2021-08-15,96.18,4.3148,145.4201
943,Greater Buenos Aires,Wheat flour,54.0,0.3713,2021-08-15,96.18,0.5614,145.435
941,Greater Buenos Aires,Potatoes,50.0,0.3438,2021-08-15,96.18,0.5199,145.4334
940,Greater Buenos Aires,Bread,189.0,1.2997,2021-08-15,96.18,1.9651,145.4182
939,Buenos Aires,Wheat,21.0,0.1444,2021-08-15,96.18,0.2183,145.4294
942,Greater Buenos Aires,Rice (white),117.0,0.8046,2021-08-15,96.18,1.2165,145.4139
956,Rosario,Maize (yellow),20.0,0.1375,2021-09-15,98.054,0.204,145.4545
948,Buenos Aires,Wheat,23.0,0.1582,2021-09-15,98.054,0.2346,145.3856
949,Greater Buenos Aires,Bread,190.0,1.3066,2021-09-15,98.054,1.9377,145.4156
950,Greater Buenos Aires,Potatoes,51.0,0.3507,2021-09-15,98.054,0.5201,145.4234
951,Greater Buenos Aires,Rice (white),115.0,0.7908,2021-09-15,98.054,1.1728,145.4224
952,Greater Buenos Aires,Wheat flour,57.0,0.392,2021-09-15,98.054,0.5813,145.4082
953,Greater Buenos Aires,Meat (beef),431.0,2.9639,2021-09-15,98.054,4.3955,145.4165
954,Greater Buenos Aires,Milk,94.0,0.6464,2021-09-15,98.054,0.9587,145.4208
955,Greater Buenos Aires,Sugar,78.0,0.5364,2021-09-15,98.054,0.7955,145.4139
963,Greater Buenos Aires,Sugar,78.87,0.5424,2021-10-15,99.085,0.796,145.4093
962,Greater Buenos Aires,Milk,93.28,0.6415,2021-10-15,99.085,0.9414,145.4092
964,Rosario,Maize (yellow),19.0,0.1307,2021-10-15,99.085,0.1918,145.3711
961,Greater Buenos Aires,Wheat flour,59.29,0.4077,2021-10-15,99.085,0.5984,145.4256
957,Buenos Aires,Wheat,23.0,0.1582,2021-10-15,99.085,0.2321,145.3856
959,Greater Buenos Aires,Potatoes,52.86,0.3635,2021-10-15,99.085,0.5335,145.4195
960,Greater Buenos Aires,Rice (white),116.74,0.8028,2021-10-15,99.085,1.1782,145.416
958,Greater Buenos Aires,Bread,197.99,1.3615,2021-10-15,99.085,1.9982,145.4205
965,Buenos Aires,Wheat,24.33,0.1673,2021-11-15,100.27,0.2426,145.4274
966,Greater Buenos Aires,Bread,204.32,1.405,2021-11-15,100.27,2.0377,145.4235
967,Greater Buenos Aires,Potatoes,55.84,0.384,2021-11-15,100.27,0.5569,145.4167
968,Greater Buenos Aires,Rice (white),114.43,0.7869,2021-11-15,100.27,1.1412,145.4187
969,Greater Buenos Aires,Wheat flour,59.37,0.4083,2021-11-15,100.27,0.5921,145.4078
970,Greater Buenos Aires,Milk,89.46,0.6152,2021-11-15,100.27,0.8922,145.4161
971,Greater Buenos Aires,Sugar,79.26,0.545,2021-11-15,100.27,0.7905,145.4312
972,Rosario,Maize (yellow),20.23,0.1391,2021-11-15,100.27,0.2018,145.4349
977,Greater Buenos Aires,Wheat flour,59.46,0.4089,2021-12-15,101.82,0.584,145.4145
979,Greater Buenos Aires,Sugar,81.71,0.5619,2021-12-15,101.82,0.8025,145.4173
978,Greater Buenos Aires,Milk,90.29,0.6209,2021-12-15,101.82,0.8868,145.4179
976,Greater Buenos Aires,Rice (white),114.82,0.7896,2021-12-15,101.82,1.1277,145.4154
975,Greater Buenos Aires,Potatoes,53.71,0.3693,2021-12-15,101.82,0.5275,145.4373
974,Greater Buenos Aires,Bread,207.97,1.4301,2021-12-15,101.82,2.0425,145.4234
973,Buenos Aires,Wheat,24.88,0.1711,2021-12-15,101.82,0.2444,145.412
980,Buenos Aires,Wheat,24.59,0.1691,2022-01-15,101.82,0.2415,145.4169
981,Greater Buenos Aires,Bread,209.92,1.4436,2022-01-15,101.82,2.0617,145.4142
982,Greater Buenos Aires,Potatoes,61.33,0.4217,2022-01-15,101.82,0.6023,145.4351
983,Greater Buenos Aires,Rice (white),120.6,0.8293,2022-01-15,101.82,1.1844,145.4239
984,Greater Buenos Aires,Wheat flour,62.82,0.432,2022-01-15,101.82,0.617,145.4167
985,Greater Buenos Aires,Milk,91.22,0.6273,2022-01-15,101.82,0.8959,145.4169
986,Greater Buenos Aires,Sugar,83.75,0.5759,2022-01-15,101.82,0.8225,145.4246
987,Rosario,Maize (yellow),23.95,0.1647,2022-01-15,101.82,0.2352,145.4159
994,Greater Buenos Aires,Sugar,89.08,0.6126,2022-02-15,106.35,0.8376,145.413
993,Greater Buenos Aires,Milk,95.44,0.6563,2022-02-15,106.35,0.8974,145.4213
992,Greater Buenos Aires,Wheat flour,65.55,0.4508,2022-02-15,106.35,0.6164,145.4082
995,Rosario,Maize (yellow),25.58,0.1759,2022-02-15,106.35,0.2405,145.4235
991,Greater Buenos Aires,Rice (white),120.62,0.8295,2022-02-15,106.35,1.1342,145.4129
989,Greater Buenos Aires,Bread,225.82,1.5529,2022-02-15,106.35,2.1234,145.4182
988,Buenos Aires,Wheat,25.7,0.1767,2022-02-15,106.35,0.2417,145.4443
990,Greater Buenos Aires,Potatoes,71.35,0.4907,2022-02-15,106.35,0.6709,145.4045
996,Buenos Aires,Wheat,33.37,0.2295,2022-03-15,109.2,0.3056,145.4031
997,Greater Buenos Aires,Bread,265.71,1.8272,2022-03-15,109.2,2.4332,145.4192
998,Greater Buenos Aires,Potatoes,67.24,0.4624,2022-03-15,109.2,0.6158,145.4152
999,Greater Buenos Aires,Rice (white),124.5,0.8561,2022-03-15,109.2,1.1401,145.4269
1000,Greater Buenos Aires,Wheat flour,74.22,0.5104,2022-03-15,109.2,0.6797,145.4154
1001,Greater Buenos Aires,Milk,108.75,0.7478,2022-03-15,109.2,0.9959,145.4266
1002,Greater Buenos Aires,Sugar,98.46,0.6771,2022-03-15,109.2,0.9016,145.4143
1003,Rosario,Maize (yellow),30.12,0.2071,2022-03-15,109.2,0.2758,145.437
1011,Rosario,Maize (yellow),30.16,0.2074,2022-04-15,112.89,0.2672,145.4195
1010,Greater Buenos Aires,Sugar,110.09,0.7571,2022-04-15,112.89,0.9752,145.4101
1009,Greater Buenos Aires,Milk,117.5,0.808,2022-04-15,112.89,1.0408,145.4208
1008,Greater Buenos Aires,Wheat flour,86.18,0.5926,2022-04-15,112.89,0.7634,145.4269
1007,Greater Buenos Aires,Rice (white),127.08,0.8739,2022-04-15,112.89,1.1257,145.4171
1005,Greater Buenos Aires,Bread,295.24,2.0303,2022-04-15,112.89,2.6153,145.4169
1004,Buenos Aires,Wheat,37.55,0.2582,2022-04-15,112.89,0.3326,145.4299
1006,Greater Buenos Aires,Potatoes,68.2,0.469,2022-04-15,112.89,0.6041,145.4158
1012,Buenos Aires,Wheat,43.0,0.2957,2022-05-15,112.89,0.3809,145.4177
1013,Greater Buenos Aires,Bread,302.0,2.0768,2022-05-15,112.89,2.6752,145.416
1014,Greater Buenos Aires,Potatoes,71.0,0.4882,2022-05-15,112.89,0.6289,145.4322
1015,Greater Buenos Aires,Rice (white),131.0,0.9008,2022-05-15,112.89,1.1604,145.4263
1016,Greater Buenos Aires,Wheat flour,95.0,0.6533,2022-05-15,112.89,0.8415,145.4156
1017,Greater Buenos Aires,Milk,126.0,0.8665,2022-05-15,112.89,1.1161,145.4126
1018,Greater Buenos Aires,Sugar,123.0,0.8458,2022-05-15,112.89,1.0896,145.4245
1019,Rosario,Maize (yellow),32.0,0.2201,2022-05-15,112.89,0.2835,145.3885
1020,Buenos Aires,Wheat,43.0,0.2957,2022-06-15,122.69,0.3505,145.4177
1021,Rosario,Maize (yellow),31.0,0.2132,2022-06-15,122.69,0.2527,145.4034
